YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 05 01 08 00  82  5.7  6.4  0.94  4.00  4.05 999 1017.6   5.5   2.7 999.0 99.0 99.00
2006 05 01 09 00  90  8.1  9.3  0.99  4.76  4.03 999 1017.0   5.7   2.7 999.0 99.0 99.00
2006 05 01 10 00  90  8.0  9.0  0.99  4.35  4.07 999 1016.9   5.8   2.7 999.0 99.0 99.00
2006 05 01 11 00  84  7.6  8.6  0.94  4.35  4.03 999 1016.9   5.4   2.7 999.0 99.0 99.00
2006 05 01 12 00  89  8.6  9.8  0.84  4.00  3.82 999 1016.5   5.5   2.7 999.0 99.0 99.00
2006 05 01 13 00  92  7.4  8.3  0.78  4.00  3.72 999 1016.5   5.4   2.7 999.0 99.0 99.00
2006 05 01 14 00  69  4.6  5.4  0.72  4.35  3.81 999 1016.4   5.0   2.7 999.0 99.0 99.00
2006 05 01 15 00  79  3.8  4.5  0.71  4.35  3.83 999 1016.2   4.8   2.7 999.0 99.0 99.00
2006 05 01 16 00  90  4.9  5.9  0.70  4.55  3.84 999 1016.0   5.2   2.8 999.0 99.0 99.00
2006 05 01 17 00  73  4.5  5.3  0.73  4.55  3.92 999 1016.0   4.8   2.8 999.0 99.0 99.00
2006 05 01 18 00  96  5.6  6.1  0.73  4.55  3.93 999 1015.8   5.4   2.8 999.0 99.0 99.00
2006 05 01 19 00  94  5.6  6.6  0.73  5.00  4.09 999 1015.3   6.2   2.8 999.0 99.0 99.00
2006 05 01 20 00 108  5.0  5.6  0.65  4.76  3.80 999 1015.3   6.3   2.8 999.0 99.0 99.00
2006 05 01 21 00 107  6.5  7.3  0.69  4.55  3.82 999 1015.2   6.3   2.8 999.0 99.0 99.00
2006 05 01 22 00 101  5.7  6.6  0.68  4.55  3.78 999 1015.0   6.0   2.8 999.0 99.0 99.00
2006 05 01 23 00 119  6.8  7.4  0.60  4.76  3.74 999 1014.8   6.7   2.8 999.0 99.0 99.00
2006 05 02 00 00 114  6.5  7.3  0.65  3.85  3.79 999 1014.7   6.2   2.8 999.0 99.0 99.00
2006 05 02 01 00 118  6.7  8.0  0.70  5.00  3.76 999 1014.4   6.6   2.8 999.0 99.0 99.00
2006 05 02 02 00 116  7.3  8.1  0.72  5.00  3.79 999 1014.4   6.4   2.8 999.0 99.0 99.00
2006 05 02 03 00 114  7.0  7.5  0.74  5.26  3.79 999 1014.6   6.1   2.8 999.0 99.0 99.00
2006 05 02 04 00 115  6.5  7.1  0.68  5.00  3.69 999 1014.3   6.0   2.8 999.0 99.0 99.00
2006 05 02 05 00 120  6.0  6.5  0.61  5.00  3.83 999 1013.9   6.0   2.8 999.0 99.0 99.00
2006 05 02 06 00 113  5.4  5.9  0.58  5.00  3.82 999 1013.7   5.9   2.8 999.0 99.0 99.00
2006 05 02 07 00 112  5.8  6.5  0.58  5.00  3.91 999 1013.1   5.8   2.8 999.0 99.0 99.00
2006 05 02 08 00 114  5.5  5.9  0.54  5.26  3.74 999 1012.5   5.7   2.8 999.0 99.0 99.00
2006 05 02 09 00 116  5.4  5.9  0.51  5.26  3.79 999 1012.3   5.4   2.8 999.0 99.0 99.00
2006 05 02 10 00 116  5.3  5.7  0.46  5.00  3.74 999 1012.2   5.7   2.8 999.0 99.0 99.00
2006 05 02 11 00 129  4.6  5.2  0.42  5.00  3.64 999 1012.3   5.5   2.8 999.0 99.0 99.00
2006 05 02 12 00 134  4.5  5.1  0.36  5.00  3.50 999 1012.5   5.3   2.8 999.0 99.0 99.00
2006 05 02 13 00 142  3.7  4.1  0.34  4.76  3.51 999 1012.7   4.9   2.8 999.0 99.0 99.00
2006 05 02 14 00 153  2.9  3.1  0.32  4.55  3.54 999 1013.1   5.2   2.8 999.0 99.0 99.00
2006 05 02 16 00 142  3.2  3.5  0.31  4.17  3.55 999 1013.1   5.2   2.8 999.0 99.0 99.00
2006 05 02 17 00 165  2.3  2.6  0.27  4.35  3.50 999 1013.4   5.4   2.9 999.0 99.0 99.00
2006 05 02 18 00 140  0.4  0.9  0.24  3.85  3.52 999 1013.4   5.7   2.9 999.0 99.0 99.00
2006 05 02 19 00 155  1.3  1.7  0.28  4.35  3.67 999 1013.3   6.2   3.0 999.0 99.0 99.00
2006 05 02 20 00 125  2.6  2.9  0.25  4.00  3.59 999 1013.3   5.4   3.0 999.0 99.0 99.00
2006 05 02 21 00 126  2.0  2.4  0.28  4.00  3.72 999 1013.2   5.9   3.1 999.0 99.0 99.00
2006 05 02 22 00 142  1.0  1.2  0.27  5.00  3.75 999 1013.7   5.5   3.1 999.0 99.0 99.00
2006 05 02 23 00 360  1.9  2.4  0.27  4.17  3.76 999 1013.9   4.9   3.2 999.0 99.0 99.00
2006 05 03 00 00  83  2.5  2.9  0.25  4.35  3.72 999 1013.7   5.0   3.1 999.0 99.0 99.00
2006 05 03 01 00 103  3.5  3.9  0.25  4.35  3.74 999 1013.4   4.0   3.1 999.0 99.0 99.00
2006 05 03 02 00  70  2.1  2.5  0.23  4.35  3.72 999 1013.5   3.3   3.1 999.0 99.0 99.00
2006 05 03 03 00  53  2.6  3.0  0.25  4.00  3.72 999 1013.9   3.1   3.0 999.0 99.0 99.00
2006 05 03 04 00  61  3.9  4.5  0.21  4.35  3.72 999 1013.3   3.2   3.0 999.0 99.0 99.00
2006 05 03 05 00  59  4.2  4.6  0.21  4.35  3.73 999 1012.8   3.0   3.0 999.0 99.0 99.00
2006 05 03 06 00  45  3.3  3.8  0.20  4.00  3.69 999 1012.8   3.0   2.9 999.0 99.0 99.00
2006 05 03 07 00  55  5.0  5.5  0.18  4.17  3.69 999 1011.6   2.9   2.9 999.0 99.0 99.00
