#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 05 10 12 00 217  2.1  2.2  0.00  0.00  0.00 999 1012.6   3.3 999.0 999.0 99.0 99.00
2007 05 10 13 00 234  2.2  2.6  0.00  0.00  0.00 999 1012.7   3.6 999.0 999.0 99.0 99.00
2007 05 10 14 00 233  3.5  3.8  0.00  0.00  0.00 999 1012.6   4.0 999.0 999.0 99.0 99.00
2007 05 10 15 00 250  2.6  2.7  0.00  0.00  0.00 999 1012.5   3.9 999.0 999.0 99.0 99.00
2007 05 10 16 00 212  3.1  3.4  0.00  0.00  0.00 999 1012.2   4.5 999.0 999.0 99.0 99.00
2007 05 10 17 00 214  2.9  3.3  0.00  0.00  0.00 999 1011.9   5.1 999.0 999.0 99.0 99.00
2007 05 10 18 00 205  3.8  4.0  0.00  0.00  0.00 999 1011.3   6.2 999.0 999.0 99.0 99.00
2007 05 10 19 00 201  5.5  5.9  0.00  0.00  0.00 999 1010.6   7.7 999.0 999.0 99.0 99.00
2007 05 10 20 00 198  5.5  5.8  0.00  0.00  0.00 999 1010.2   8.2 999.0 999.0 99.0 99.00
2007 05 10 21 00 205  4.8  5.2  0.00  0.00  0.00 999 1009.9   9.0 999.0 999.0 99.0 99.00
2007 05 10 22 00 280  4.8  6.7  0.00  0.00  0.00 999 1010.3   9.0 999.0 999.0 99.0 99.00
2007 05 10 23 00 340  3.4  5.0  0.00  0.00  0.00 999 1010.8   8.0 999.0 999.0 99.0 99.00
