#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 03 16 04 50  37  0.7  1.1  0.01 99.00  4.55 999 1018.2   2.9   4.4 999.0 99.0 99.00
2012 03 16 05 50  28  0.7  1.1  0.01 99.00  4.45 999 1017.9   3.5   4.1 999.0 99.0 99.00
2012 03 16 06 50  30  0.4  0.8  0.01 99.00  4.36 999 1017.8   3.7   3.9 999.0 99.0 99.00
2012 03 16 07 50  31  0.5  1.0  0.01 99.00  4.51 999 1018.2   3.9   3.6 999.0 99.0 99.00
2012 03 16 08 50  32  0.8  1.5  0.01 99.00  4.49 999 1017.8   3.6   3.4 999.0 99.0 99.00
2012 03 16 09 50  35  0.7  1.4  0.01 99.00  4.95 999 1017.8   4.1   3.5 999.0 99.0 99.00
2012 03 16 10 50  91  0.5  0.9  0.01 99.00  5.77 999 1017.8   2.0   3.2 999.0 99.0 99.00
2012 03 16 11 50  61  0.6  1.1  0.01 99.00  4.95 999 1017.7   1.4   2.9 999.0 99.0 99.00
2012 03 16 12 50  30  0.4  1.9  0.01 99.00  4.54 999 1017.2   2.7   2.8 999.0 99.0 99.00
2012 03 16 13 50  33  1.0  2.4  0.01 99.00  4.56 999 1017.2   3.6   3.2 999.0 99.0 99.00
2012 03 16 14 50  54  1.6  3.0  0.01 99.00  4.68 999 1017.0   3.7   3.6 999.0 99.0 99.00
2012 03 16 15 50 337  0.3  1.8 99.00 99.00 99.00 999 1016.5   5.2   5.3 999.0 99.0 99.00
2012 03 16 16 50 356  0.3  1.3 99.00 99.00 99.00 999 1016.0   5.1   5.8 999.0 99.0 99.00
2012 03 16 17 50 333  0.7  1.6 99.00 99.00 99.00 999 1015.6   5.1   6.8 999.0 99.0 99.00
2012 03 16 18 50 360  0.3  2.3 99.00 99.00 99.00 999 1015.1   5.5   7.3 999.0 99.0 99.00
2012 03 16 19 50 353  0.5  2.4 99.00 99.00 99.00 999 1013.9   5.5   7.8 999.0 99.0 99.00
2012 03 16 20 50  30  0.2  1.5 99.00 99.00 99.00 999 1013.5   5.8   7.7 999.0 99.0 99.00
2012 03 16 21 50 337  0.2  1.2 99.00 99.00 99.00 999 1013.1   5.2   7.4 999.0 99.0 99.00
2012 03 16 22 50 333  0.5  1.6 99.00 99.00 99.00 999 1012.9   4.8   6.9 999.0 99.0 99.00
2012 03 16 23 50 323  0.3  1.1 99.00 99.00 99.00 999 1012.6   5.1   6.5 999.0 99.0 99.00
2012 03 17 00 50 335  0.7  3.1 99.00 99.00 99.00 999 1012.5   4.2   5.8 999.0 99.0 99.00
2012 03 17 01 50 340  0.5  1.3 99.00 99.00 99.00 999 1012.4   4.7   5.6 999.0 99.0 99.00
2012 03 17 02 50 332  0.2  0.9 99.00 99.00 99.00 999 1012.2   4.8   5.5 999.0 99.0 99.00
2012 03 17 03 50 336  0.2  0.9 99.00 99.00 99.00 999 1012.0   4.8   5.3 999.0 99.0 99.00
2012 03 17 04 50 339  0.6  1.9 99.00 99.00 99.00 999 1011.5   5.4   5.3 999.0 99.0 99.00
2012 03 17 05 50 339  0.6  1.6 99.00 99.00 99.00 999 1011.1   4.5   5.1 999.0 99.0 99.00
2012 03 17 06 50 180  0.0  0.5 99.00 99.00 99.00 999 1010.3   3.9   4.9 999.0 99.0 99.00
